timestamp,co2,temperature,humidity,lux,noise_db
2026-07-10T00:00:00,435.8,23.0,47.1,2.1,31.8
2026-07-10T00:05:00,435.3,23.0,47.2,2.7,32.5
2026-07-10T00:10:00,429.8,22.9,47.4,0.9,32.3
2026-07-10T00:15:00,427.1,22.9,48.3,0.9,32.0
2026-07-10T00:20:00,423.8,22.8,48.2,2.3,32.6
2026-07-10T00:25:00,425.7,22.9,48.2,2.5,32.4
2026-07-10T00:30:00,425.4,22.9,48.7,0.5,33.8
2026-07-10T00:35:00,419.7,22.8,48.3,1.5,32.7
2026-07-10T00:40:00,423.5,22.7,48.5,2.9,34.4
2026-07-10T00:45:00,418.6,22.8,48.7,2.9,33.4
2026-07-10T00:50:00,426.9,22.8,49.1,0.2,31.7
2026-07-10T00:55:00,420.7,22.7,48.9,1.1,35.1
2026-07-10T01:00:00,421.6,22.7,49.2,2.5,32.0
2026-07-10T01:05:00,421.7,22.8,49.5,0.3,31.4
2026-07-10T01:10:00,425.3,22.7,49.4,1.5,34.6
2026-07-10T01:15:00,422.1,22.6,49.4,1.4,32.0
2026-07-10T01:20:00,421.1,22.6,49.1,0.6,34.2
2026-07-10T01:25:00,413.5,22.6,49.3,0.9,33.1
2026-07-10T01:30:00,419.7,22.5,49.2,0.1,31.2
2026-07-10T01:35:00,419.5,22.5,49.3,1.1,34.5
2026-07-10T01:40:00,419.1,22.6,49.5,1.8,32.3
2026-07-10T01:45:00,416.5,22.6,49.6,0.5,31.7
2026-07-10T01:50:00,417.1,22.7,49.9,0.1,35.2
2026-07-10T01:55:00,418.3,22.5,49.8,0.3,31.0
2026-07-10T02:00:00,424.1,22.5,50.0,1.7,35.1
2026-07-10T02:05:00,428.2,22.6,50.0,1.6,33.6
2026-07-10T02:10:00,418.3,22.5,49.6,0.9,31.0
2026-07-10T02:15:00,419.7,22.5,49.9,0.3,34.5
2026-07-10T02:20:00,418.6,22.5,49.9,2.7,32.0
2026-07-10T02:25:00,429.5,22.5,49.7,0.8,33.0
2026-07-10T02:30:00,415.7,22.5,49.6,1.3,33.7
2026-07-10T02:35:00,409.4,22.5,49.7,2.6,32.3
2026-07-10T02:40:00,420.0,22.5,50.1,2.8,32.6
2026-07-10T02:45:00,422.4,22.5,50.1,1.0,33.1
2026-07-10T02:50:00,429.0,22.5,50.2,0.5,33.2
2026-07-10T02:55:00,422.6,22.5,50.2,2.9,33.4
2026-07-10T03:00:00,417.3,22.5,50.1,1.9,32.3
2026-07-10T03:05:00,419.2,22.5,49.8,1.7,33.9
2026-07-10T03:10:00,422.7,22.5,49.9,1.6,32.7
2026-07-10T03:15:00,422.7,22.5,49.6,2.0,32.6
2026-07-10T03:20:00,419.3,22.5,49.6,0.8,34.9
2026-07-10T03:25:00,413.8,22.6,49.5,0.1,33.2
2026-07-10T03:30:00,424.7,22.5,49.8,0.4,34.1
2026-07-10T03:35:00,424.3,22.5,49.8,1.9,33.3
2026-07-10T03:40:00,416.0,22.5,49.9,1.7,32.5
2026-07-10T03:45:00,415.4,22.5,50.3,0.1,34.8
2026-07-10T03:50:00,422.7,22.5,50.2,2.0,31.3
2026-07-10T03:55:00,421.6,22.5,49.9,0.8,34.4
2026-07-10T04:00:00,424.3,22.5,50.0,0.6,32.9
2026-07-10T04:05:00,419.7,22.6,49.9,0.7,30.7
2026-07-10T04:10:00,416.4,22.6,49.5,1.6,34.1
2026-07-10T04:15:00,420.9,22.6,49.7,1.4,32.4
2026-07-10T04:20:00,424.5,22.5,49.7,1.5,32.5
2026-07-10T04:25:00,418.8,22.5,49.6,0.4,33.6
2026-07-10T04:30:00,415.9,22.5,49.8,2.8,30.7
2026-07-10T04:35:00,416.9,22.5,50.1,2.4,35.5
2026-07-10T04:40:00,422.4,22.5,49.9,1.5,34.1
2026-07-10T04:45:00,422.5,22.5,50.0,2.2,31.8
2026-07-10T04:50:00,416.2,22.6,49.6,2.3,34.5
2026-07-10T04:55:00,417.0,22.6,49.8,0.2,31.3
2026-07-10T05:00:00,418.7,22.5,49.4,8.3,36.6
2026-07-10T05:05:00,425.9,22.7,49.5,0.0,37.6
2026-07-10T05:10:00,420.2,22.6,49.2,26.4,34.7
2026-07-10T05:15:00,416.1,22.6,49.4,60.3,38.3
2026-07-10T05:20:00,422.7,22.5,49.4,0.0,35.4
2026-07-10T05:25:00,423.2,22.6,49.7,0.0,34.4
2026-07-10T05:30:00,422.4,22.5,49.9,63.7,36.2
2026-07-10T05:35:00,411.5,22.7,49.7,69.6,34.7
2026-07-10T05:40:00,419.5,22.7,49.2,26.0,36.0
2026-07-10T05:45:00,418.6,22.7,49.5,50.1,37.0
2026-07-10T05:50:00,424.7,22.7,49.4,79.3,36.2
2026-07-10T05:55:00,422.8,22.7,49.3,51.8,36.7
2026-07-10T06:00:00,414.7,22.7,49.1,69.7,34.7
2026-07-10T06:05:00,416.7,22.7,49.2,125.1,37.2
2026-07-10T06:10:00,420.9,22.7,49.1,72.9,34.7
2026-07-10T06:15:00,430.4,22.7,49.1,45.8,34.4
